Unigrams,Freq
kavrulursun,1
duygu,33
gülünç,6
olursun,22
düşmezsen,1
kalabalığa,4
karışırsın,1
ezilirsin,1
sersem,8
bakınıp,2
durma,27
yol,218
seç,11
tür,10
nokta,31
var,979
önüne,60
ardına,43
bakar,71
bakmaz,9
ardını,3
noktalar,6
geleceğim,16
bekle,69
dedi,177
gitti,168
beklemedim,2
gelmedi,17
ölüm,339
oldu,382
ölmedi,3
yalana,12
inandır,4
ömrümce,11
sürsün,13
doğruluğu,1
düşlerimin,29
uyuyordu,5
duyuyordum,7
uykusunda,17
onun,206
düş'ünde,2
bulundum,3
duyuyordu,2
avundum,1
uyumuyordu,1
biliyordum,14
bulunsaydım,1
vururdum,1
çocuk,465
doğdu,28
bendim,20
sıraya,6
girdim,7
alay,17
bayrak,35
büyüdüm,13
odalar,14
sofalar,2
ayna,30
gördüm,154
girdi,31
i̇şime,1
geldi,144
aldım,59
çarşılar,7
pazarlar,2
yüzüne,90
baktım,69
kendisini,23
aşmadı,1
olanlar,20
sabah,267
uyandım,23
duruyordu,11
karşımda,23
düşmancasına,1
cam,60
aldanmış,1
sanmış,2
andırırsın,2
dediklerinde,1
duyduklarında,1
söylemesem,2
saklamadıklarımda,1
ah,314
aklımda,28
gözlerinde,150
kulaklarında,3
dudaklarında,39
şiir,196
geceye,117
değer,55
uykuya,32
uyanmaya,5
sigaraya,4
rakıya,2
şarkıya,9
türküye,8
ağrıya,4
meğer,55
desen,17
demesen,1
deyeceğim,1
düşün,74
size,110
yaptım,31
çağrı,12
mı,647
armağan,18
vardı,342
böyle,485
karşıma,27
yazılar,4
çizgiler,8
hatırlamadım,2
sizinki,2
onlar,220
gitmeyecek,6
gitmeniz,3
gitmeseniz,2
düş,167
kursam,2
kurmasam,2
aklıma,107
yüzünüz,14
gelecektir,5
kötülüğüm,2
dokundu,24
i̇nanın,9
hoş,63
inanacaksınız,2
sizi,71
tanımazdım,2
i̇nanmak,4
yakışmaz,6
çıkmayacaktınız,2
resim,32
şimdi,928
kurmadığım,1
düşlerin,63
çizdiği,9
hem,199
gözüme,17
düşünceme,1
çakılıp,3
kaldınız,6
renklerinize,2
biçimlerinize,2
dışı,11
gerçeklerin,5
benden,192
çıkardınız,2
aldınız,3
göz,236
görmeye,22
uzağa,29
bıraktınız,2
dönmeye,3
geç,124
korku,61
dağlarının,3
yürekçisi,1
denizlerinin,1
kürekçisi,1
suskun,68
oturuyor,9
şişesinin,1
basında,3
i̇çtiğinin,1
hırsızı,2
bekçisi,8
kırmış,3
olmalı,122
yaşamında,1
birisi,49
dinledikçe,1
susması,3
düşündükçe,8
tek,442
kişi,36
olmuş,119
kendisiyle,10
gölgesi,50
heykelini,2
yontuyor,3
yalnızlığın,71
ustası,8
bahçesinde,18
dal,74
olamayanın,1
girmiş,9
bahçeme,7
ağaçlık,1
taslayor,1
küçük,229
yalanı,13
büyük,330
orantıda,1
dinlediniz,1
mi,831
yalın,40
doğrultuda,1
söylediniz,2
gecikmiş,18
gizlemi̇,1
birikmiş,13
özlemi,25
sakladınız,3
gelmeyecek,13
gideni,6
olmayacak,30
nedeni,10
beklediniz,1
gerçeği,37
erken,62
açlığı,6
tokken,1
ölecekmiş,1
hiç,900
ölmeyecekmiş,3
şadınız,1
sürmeye,6
yanlışı,5
saklandınız,1
doğruluğun,1
yönünde,1
doğruların,1
önünde,109
aklandınız,1
ortamsız,1
yaşamsız,1
ortamda,3
harcandınız,1
ağacı,52
sevecektiniz,2
yoldunuz,1
bırakmadınız,9
yılına,1
yemişini,3
yiyecektiniz,1
kadını,37
sevi'ye,1
diyecektiniz,1
büyünürken,1
zamanla,18
küçüldünüz,1
arıları,2
kovdunuz,2
dumanla,4
kovanda,1
bal,47
sobayı,1
söndürdünüz,1
isıyı,1
öldürdünüz,1
hava,85
basıp,9
üfürdünüz,1
mangalda,1
kül,68
parayla,2
yamalı,10
bohça'da,1
kapanık,4
dar,85
açıda,1
caanım,1
ikili,5
bahçede,27
renk,102
eliniz,1
cebiniz,1
başınıza,5
vurdu,34
keliniz,1
sattınız,1
hepiniz,9
depoda,1
mal,13
çabuk,54
hele,72
hayatına,7
dün,104
doğmuşuz,2
sanki,347
yeni,333
okula,11
başlamışız,1
sevmişiz,1
yarın,65
ölecek,8
gibiyiz,13
doymamışız,1
yaşamasına,1
günlerimiz,4
bugün,165
sakın,117
bırakma,37
yarına,23
sevgisiz,8
bağlılık,5
insanı,50
yaşa,30
yaşaya,3
öldüren,19
sürükler,9
sevgiyle,42
öldüre,2
yaşatan,5
sürdürür,3
şarkı,108
söylüyormuşum,1
sokaklarda,72
görmüşler,2
yere,247
bakıyormuşum,1
duymuşlar,1
sonrasını,5
uydurmuşlar,2
denize,173
yanaştım,1
sulardan,20
geliyordu,17
duydum,33
iyi,199
dedim,153
gemide,3
geçiyordu,17
bağırdım,4
gitme'siz,1
döndüm,16
çakıllara,2
sordum,23
kimdensiniz,1
dediler,59
durandan,1
bizi,202
yakın,108
edenden,1
denizi,87
sorguya,3
çektim,24
görüyor,20
musun,91
yaşadığımı,6
yetinemedim,1
tuttum,28
yakaladım,6
kendimi,188
getirdim,35
gözlerinize,8
serdim,8
durdum,29
soruyorum,15
musunuz,15
kadeh,18
içilmiş,1
söz,197
edilmişti,1
sardı,22
hepsini,32
hatıra,28
hırs,2
kıskançlık,4
yanıltı,1
kardeşlik,11
yanlışlık,3
kin,20
ümid,2
i̇nsana,7
ait,39
sabaha,86
karsı,12
kendimle,19
konuştum,15
çıkan,46
yokuştum,2
yokusun,1
düşman,53
vurmaya,8
gittim,38
vuruştum,3
bende,150
sende,153
arayorlar,1
senden,236
tanıyorlar,1
birim,4
tümünün,2
gözünde,23
yarım'larımızı,1
sanıyorlar,2
kelebek,36
olsam,56
dağlarda,22
uğurlasam,2
çiçeklerin,23
yapraklarına,8
gökyüzünün,56
mavilerine,2
güneşin,164
ışıklarıyla,7
dansetsem,1
i̇lkbaharın,1
müjdesini,3
versem,8
gelinciklere,2
menekşelere,1
sabahlara,24
umutla,22
uçsam,2
mutluluğun,13
sonu,57
unutsam,4
yağmurlar,79
yağdığı,4
sığınacak,10
arar,36
kanatları,30
terk,101
etmesin,3
bulacağı,1
kuytuya,1
ümitle,7
tamam,23
hayal,76
anlar,37
ümitsizce,9
uçarken,8
kanayan,44
yaralarına,4
taşımayacaktır,1
yağmur,366
taneleri,29
çarparken,5
kırbaç,12
bedenine,10
çabayla,4
çiçek,208
görür,28
mahzun,33
boynu,31
bükük,21
karar,31
verir,57
anını,2
geçirmeye,2
takati,2
kefen,6
yığılır,6
çiçeğin,24
üstüne,221
taraf,12
sistir,1
ölümün,72
hüznünü,12
unutur,11
gözünden,19
damla,165
yaş,71
akar,57
rüzgar,172
kanatlarını,30
savururken,1
baharı,53
düşleyerek,3
ormana,8
ölünceye,2
bekleyecekmiş,1
beklerken,24
ölmem,2
beklersem,1
düşlerime,28
uykusuz,42
kaldım,78
uykularıma,8
düşsüz,3
başıma,67
sensiz,137
gönlüme,45
başsız,4
yollarda,37
pulsuz,5
pullarda,1
mektupsuz,1
adlar,4
aradım,31
ardında,61
adsız,9
adalı’nın,3
alnına,21
yazmışlar,3
sonra,723
çizgi,16
kesmişler,2
gömleğine,4
dikmişler,1
kentte,26
yaman,26
gömleğim,7
deniz,434
diyor,99
sorunca,3
içki,3
vuruyor,31
adalı,6
kafayı,5
bulunca,10
sarhoş,60
olmam,7
şeyim,20
adadan,1
ediyor,64
takılıyorum,1
diyorum,115
sevgilin,13
haber,83
susuyor,16
dik,42
bakıyor,50
sever,23
küfür,17
etmez,25
boş,149
gidip,76
içelim,9
i̇nsan,82
sevdiği,19
sürece,6
uykusu,19
gelmez,24
dalıyoruz,1
içine,155
bi,42
sözümü,5
adının,10
anılar,73
koyma,7
mezar,41
değilsin,66
ardından,120
gelsin,31
duvar,46
derler,45
aldır,1
aldırma,34
derler’i,2
öngörürsen,1
bakarlar,8
songörürsen,1
misin,121
deyen,1
sevda,315
çiçeğim,22
sararıp,8
solacak,2
taze,47
tenim,24
i̇ç,20
sunduğun,5
ateşin,44
bilmem,98
içimi,49
yakar,36
dersin,37
gönlümdeki,14
derin,227
aşkınla,9
tutuşan,28
sıcak,133
fırtına,61
eserde,1
gönlümün,50
tahtını,3
yıkar,11
kara,310
sevdam,59
baharımsın,1
ömrüm,53
oldukça,18
seveceğim,8
sandığım,10
aşkımız,11
biter,54
seyredebiliyorum,1
dalgaların,48
dili,49
seninkinden,1
açık,140
hatırlatsan,1
sevebiliyorum,1
konuşurduk,2
hatırlar,13
mısın,67
bula,3
karşılaştığımız,1
zamanlarda,43
şımaran,1
şaşıran,3
budala,5
küstahlığımı,1
nezaketim,1
götürdü,18
saadece,1
bakakaldım,2
kararsızlık,6
sürdü,13
gizlenen,13
insanların,61
ortasında,94
çırılçıplak,72
selâmımı,1
tanıdıklar,2
saygı,15
bekleyince,1
alçaldım,1
beğenmişlerin,1
ağlamayı,12
ölenler,9
ölmez,8
sanınca,1
ufaldım,1
ölülerle,2
